Name,Price,Day,League
Exalted Orb,79.81,6,Scourge
Exalted Orb,82,7,Scourge
Exalted Orb,95,8,Scourge
Exalted Orb,97,9,Scourge
Exalted Orb,98,10,Scourge
Exalted Orb,108,11,Scourge
Exalted Orb,125,12,Scourge
Exalted Orb,124,13,Scourge
Exalted Orb,120,14,Scourge
Exalted Orb,120,15,Scourge
Exalted Orb,120.86421,16,Scourge
Exalted Orb,123,17,Scourge
Exalted Orb,126,18,Scourge
Exalted Orb,132.80042,19,Scourge
Exalted Orb,140,20,Scourge
Exalted Orb,147,21,Scourge
Exalted Orb,147,22,Scourge
Exalted Orb,147,23,Scourge
Exalted Orb,145,24,Scourge
Exalted Orb,145,25,Scourge
Exalted Orb,145,26,Scourge
Exalted Orb,146,27,Scourge
Exalted Orb,145,28,Scourge
Exalted Orb,145,29,Scourge
Exalted Orb,145,30,Scourge
Secondary Regrading Lens,20.072,1,Scourge
Secondary Regrading Lens,16,2,Scourge
Secondary Regrading Lens,18.00142,3,Scourge
Secondary Regrading Lens,19,4,Scourge
Secondary Regrading Lens,20,5,Scourge
Secondary Regrading Lens,25.77838,6,Scourge
Secondary Regrading Lens,28,7,Scourge
Secondary Regrading Lens,34.05,8,Scourge
Secondary Regrading Lens,40,9,Scourge
Secondary Regrading Lens,46.16995,10,Scourge
Secondary Regrading Lens,56.44456,11,Scourge
Secondary Regrading Lens,58,12,Scourge
Secondary Regrading Lens,58,13,Scourge
Secondary Regrading Lens,63,14,Scourge
Secondary Regrading Lens,60,15,Scourge
Secondary Regrading Lens,55.20214,16,Scourge
Secondary Regrading Lens,52.29832,17,Scourge
Secondary Regrading Lens,62.96744,18,Scourge
Secondary Regrading Lens,70,19,Scourge
Secondary Regrading Lens,73.5,20,Scourge
Secondary Regrading Lens,73.5,21,Scourge
Secondary Regrading Lens,73.5,22,Scourge
Secondary Regrading Lens,72.5,23,Scourge
Secondary Regrading Lens,72.5,24,Scourge
Secondary Regrading Lens,107.97625,25,Scourge
Secondary Regrading Lens,119.21464,26,Scourge
Secondary Regrading Lens,119.91708,27,Scourge
Secondary Regrading Lens,123.49441,28,Scourge
Secondary Regrading Lens,132.45,29,Scourge
Warlord's Exalted Orb,64,1,Scourge
Warlord's Exalted Orb,63.01815,2,Scourge
Warlord's Exalted Orb,43.53212,3,Scourge
Warlord's Exalted Orb,43,4,Scourge
Warlord's Exalted Orb,40,5,Scourge
Warlord's Exalted Orb,69.9265,6,Scourge
Warlord's Exalted Orb,62.5385,7,Scourge
Warlord's Exalted Orb,64,8,Scourge
Warlord's Exalted Orb,60,9,Scourge
Warlord's Exalted Orb,97.50125,10,Scourge
Warlord's Exalted Orb,109.23103,11,Scourge
Warlord's Exalted Orb,94.30002,12,Scourge
Warlord's Exalted Orb,84.84641,13,Scourge
Warlord's Exalted Orb,86.36962,14,Scourge
Warlord's Exalted Orb,75,15,Scourge
Warlord's Exalted Orb,70,16,Scourge
Warlord's Exalted Orb,99,17,Scourge
Warlord's Exalted Orb,104.25049,18,Scourge
Warlord's Exalted Orb,104.8005,19,Scourge
Warlord's Exalted Orb,87.45184,20,Scourge
Warlord's Exalted Orb,73.5,21,Scourge
Warlord's Exalted Orb,73.5,22,Scourge
Warlord's Exalted Orb,72.5,23,Scourge
Warlord's Exalted Orb,72.5,24,Scourge
Warlord's Exalted Orb,107,25,Scourge
Warlord's Exalted Orb,110,26,Scourge
Warlord's Exalted Orb,73,27,Scourge
Warlord's Exalted Orb,72.55277,28,Scourge
Warlord's Exalted Orb,72.5,29,Scourge
Tainted Divine Teardrop,12,1,Scourge
Tainted Divine Teardrop,9,2,Scourge
Tainted Divine Teardrop,10,3,Scourge
